;1;4;5;6;8;11;12;17;18;19;20;23;27;31;34;35;36;37;39;42;47;53;54;58;61;66;69;73;74;75;79;80;81;87;89;90;101;103;112;114;115;118;120;121;122;125;126;127;129;130;133;139;141;142
53;0;0;0;0;0.004792;0;0;0.007814;0;0.004983;0;0;0;0;0;0.003926;0.002548;0;0;0;0.003168;0;0;0;0;0;0.004111;0;0;0.007445;0;0.003596;0;0;0.006763;0;0;0;0.005421;0.004015;0;0.003417;0.003334;0;0.00202;0;0.006391;0;0.009091;0.005343;0.009955;0.007353;0.002286;0.003924
54;0;0;0;0;0.005088;0.00777;0;0;0.003186;0.003742;0;0;0;0.002742;0;0.003426;0.002922;0.009166;0;0;0;0;0;0;0;0;0.00506;0.003127;0;0;0;0.003481;0;0;0;0;0;0;0.00608;0;0.00276;0.003828;0.003225;0.002894;0.00227;0;0.006949;0;0.007506;0.005879;0;0.006466;0.002574;0.003235
58;0;0;0;0;0.004772;0.006643;0;0.007145;0;0.003732;0;0;0.006357;0.0025;0.004706;0.003817;0;0.008666;0;0;0.004219;0;0.00294;0;0;0;0;0;0;0.007693;0;0.003826;0;0;0.005474;0;0;0.002972;0.004625;0.003947;0;0.003206;0;0;0.002118;0;0.005343;0.004641;0.007925;0.004722;0;0.006029;0.002976;0.002508
61;0;0;0;0;0.009376;0.017162;0;0;0;0.010426;0;0;0;0.006313;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.015176;0;0.009275;0;0;0;0;0;0;0.009114;0;0;0;0;0;0.00605;0;0.015661;0;0;0.014194;0;0;0.008459;0.008676
66;0;0;0;0;0;0;0;0;0;0.005381;0;0;0;0.00321;0;0.003488;0;0;0;0;0;0;0.004155;0;0;0;0.005257;0;0;0.009257;0;0;0;0;0;0;0;0;0.005384;0.005648;0;0;0;0;0.003147;0;0.00853;0;0.010969;0.007623;0.010367;0;0.003999;0.004117
69;0.005945;0;0.010148;0.020474;0.005127;0.007951;0;0.008946;0.003579;0;0.009293;0.005203;0.00743;0.001756;0.005702;0.003733;0.002219;0.009475;0.006092;0.004889;0;0.003465;0.003432;0.003357;0;0.00516;0;0;0;0;0;0.004174;0.004049;0;0.007084;0.00903;0.003358;0.003095;0.005846;0.004009;0;0.004049;0.002525;0.002528;0;0;0;0;0.009391;0.006617;0;0;0.003141;0
73;0;0.011497;0;0;0.004271;0.005934;0;0.006236;0.002573;0.004047;0;0;0;0.002138;0;0.003007;0.001678;0;0;0;0;0;0.003098;0;0;0;0;0;0;0.007626;0;0;0;0;0.005286;0;0.003557;0.003038;0.005029;0.003682;0.002074;0.002603;0.002603;0;0.001669;0;0.005198;0.003875;0.007383;0.004672;0;0;0.002531;0.003337
74;0;0;0.018485;0;0.008507;0;0;0.014311;0;0.007633;0;0;0;0.004756;0;0.006446;0;0;0;0;0.007002;0;0.006249;0;0;0;0;0;0;0.013045;0;0.006369;0;0;0.010579;0;0;0;0.008101;0;0;0;0;0;0.00409;0;0.010608;0;0.014177;0;0;0.013319;0.005739;0.006553
75;0.010164;0.021891;0;0;0.007573;0.013358;0.008044;0.013312;0;0.0084;0;0.008452;0.012239;0.005153;0;0.006345;0.004791;0;0.010488;0;0.005827;0.007246;0.00677;0.006501;0.018358;0.008627;0.007612;0.005112;0.014786;0;0.010709;0;0;0.008901;0.012447;0;0.007163;0.005395;0.010653;0;0;0.006628;0.006025;0.005043;0.004026;0.032588;0.011924;0;0.013961;0;0;0;0.005068;0.006509
79;0;0;0;0.025218;0.006459;0.009258;0;0.009925;0.00453;0.00572;0;0;0;0.003157;0;0.004655;0.00345;0;0;0;0.004673;0;0;0;0;0;0.006532;0.003885;0;0.010462;0;0.004585;0;0;0;0;0;0.004923;0.005855;0;0;0;0;0;0.002624;0;0.00868;0;0.011088;0.006829;0.012523;0;0.004015;0.004832
80;0;0;0.00831;0;0.004624;0.007073;0;0.007383;0;0.003926;0.008383;0.004363;0.0062;0.002288;0.00549;0;0;0.009025;0;0.0048;0;0;0.003842;0.00344;0;0;0.004968;0;0;0.007985;0;0;0;0;0.005162;0;0;0.004025;0.006441;0;0;0;0.002928;0.002278;0.001776;0;0;0;0.007507;0.005613;0;0.00779;0.003288;0.002664
81;0;0;0;0.023095;0.005879;0;0;0.009335;0.003973;0;0;0;0;0.002348;0.007093;0.004467;0;0;0;0.005587;0.00395;0;0.004731;0;0;0;0.005434;0;0;0;0;0;0;0;0.008479;0;0;0.004317;0.005967;0.005105;0.003569;0.004291;0.003321;0;0;0;0.006395;0;0;0.007023;0.010337;0.008907;0.003527;0.003682
87;0;0.016149;0;0;0;0.008636;0;0.010015;0;0.005252;0;0;0;0.003103;0;0.004648;0.003253;0;0;0;0;0;0;0;0;0;0.005345;0.003609;0;0.00936;0;0.0047;0;0;0.007282;0;0;0;0.004722;0;0;0;0.003807;0.003444;0;0;0;0;0.008734;0;0.011013;0.010144;0.0032;0.004012
89;0;0;0.01514;0.029516;0.006151;0;0.004746;0.012873;0.005228;0.007766;0;0;0.010224;0.004317;0.007618;0.006027;0;0;0;0.0073;0;0.005975;0.005573;0.004624;0.0193;0.007858;0;0.003848;0.013691;0;0.008992;0.005817;0.006664;0.008935;0;0;0.006481;0.005536;0.007626;0;0.003526;0;0.003968;0.004486;0.002889;0.026191;0;0.007547;0;0.008671;0;0;0.005277;0
90;0;0;0;0;0;0.014113;0;0;0;0.00781;0;0;0;0.005221;0;0;0;0;0;0;0.007766;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.011043;0;0.005351;0;0;0;0.003364;0;0;0;0.015766;0.011422;0.01862;0;0;0.005854
101;0;0;0.01138;0;0.006215;0.008172;0;0.008768;0;0.005038;0;0;0.007658;0.003142;0;0.00396;0.002758;0;0;0.005312;0;0;0;0;0;0;0.005467;0;0;0.008826;0;0.004222;0.005397;0;0;0;0;0;0.006704;0;0;0;0.003648;0.003449;0.002001;0;0.006528;0.005178;0.007846;0.006309;0.010181;0.009161;0.003819;0
103;0;0;0.009114;0;0;0.007015;0;0;0;0.004216;0.00875;0;0;0.002244;0;0;0.002331;0;0;0;0;0;0;0;0;0;0;0.002638;0;0.00826;0;0.002751;0;0;0.005814;0;0;0;0.005039;0;0.002657;0.003188;0;0.002369;0;0;0;0.004342;0.007546;0.004941;0.008999;0;0;0.003171
112;0.007934;0.016226;0.013823;0;0.005065;0.010309;0.004395;0;0.004131;0.005501;0.008267;0.005788;0.007594;0.002771;0.007779;0.003913;0.003182;0.008477;0.007408;0.00443;0.004372;0.005182;0.004211;0.003451;0.014192;0.004322;0.004655;0.002838;0.007623;0.010096;0.006437;0.004252;0.005442;0.006635;0.005682;0.010293;0.004568;0.003658;0;0;0.002734;0.004197;0.003622;0.003976;0.003312;0;0.008639;0.005222;0.01123;0.006054;0.011457;0.008442;0.004064;0.005599
114;0;0.014506;0.011998;0;0.006188;0.007769;0;0;0;0.005031;0.010691;0;0;0.003086;0;0.002559;0.002526;0.010216;0;0;0.004963;0;0;0;0;0;0.005641;0;0;0;0;0;0;0;0;0;0;0;0.006792;0;0;0;0;0.002748;0;0;0.006328;0;0;0;0;0;0.002943;0.003825
115;0.00515;0.010133;0.007693;0.016529;0;0.005788;0;0;0.002223;0.003411;0.008046;0;0;0.002088;0;0.003286;0.001996;0;0;0;0;0;0.002913;0.002153;0;0.004593;0.004338;0.001575;0;0.006826;0.005033;0;0.003581;0;0.005206;0;0.003311;0.002621;0.003696;0;0;0;0;0.002256;0.0019;0;0.005159;0;0.006906;0.004676;0.008181;0;0;0.003148
